# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 21 20:01:49 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) exponential 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.000156 -1.99852 10.11394 0.7307144403 2.3701474667    0.730  0.118  3.8033  4.349    1  0.000  0.533     0.00     0.00 -1 -8.49e-20      0.00 8.643e-01 1.356e-01 1.752e-05 4.801e-06 4.386e-05 -1.000 1.345e-04 4.475 5.242 4.728 4.488 4.438 4.450 4.463
0.000156 -1.99852 10.11394 0.7385791540 2.3734154701    0.738  0.184  3.8065  4.300    1  0.000  0.531     0.00     0.00 -1 -2.47e-17      0.00 8.670e-01 1.329e-01 1.729e-05 4.750e-06 4.342e-05 -1.000 1.127e-04 4.310 5.063 4.553 4.325 4.280 4.295 4.310
0.000156 -1.99852 10.11394 0.7459296584 2.3764109612    0.745  0.253  3.8091  4.246    1  0.000  0.529     0.00     0.00 -1 -8.59e-15      0.00 8.691e-01 1.308e-01 1.711e-05 4.711e-06 4.309e-05 -1.000 8.819e-05 4.138 4.881 4.373 4.155 4.115 4.132 4.147
0.000156 -1.99852 10.11394 0.7500000000 2.3780457973    0.749  0.294  3.8102  4.211    1  0.000  0.529     0.00     0.00 -1 -2.22e-13      0.00 8.701e-01 1.298e-01 1.703e-05 4.695e-06 4.296e-05 -1.000 1.000e-04 4.035 4.773 4.265 4.052 4.014 4.032 4.048
0.000156 -1.99852 10.11394 0.7526862621 2.3791155815    0.752  0.322  3.8110  4.188    1  0.000  0.529     0.00     0.00 -1 -2.43e-13      0.00 8.696e-01 1.303e-01 1.711e-05 4.716e-06 4.316e-05 -1.000 1.000e-04 3.966 4.700 4.193 3.983 3.946 3.966 3.981
0.000156 -1.99852 10.11394 0.7567442656 2.3807179928    0.756  0.367  3.8116  4.147    1  0.000  0.529     0.00     0.00 -1 -2.82e-13      0.00 8.685e-01 1.314e-01 1.726e-05 4.758e-06 4.355e-05 -1.000 1.000e-04 3.851 4.583 4.075 3.868 3.833 3.853 3.869
0.000156 -1.99852 10.11394 0.7582584620 2.3813118935    0.757  0.386  3.8114  4.129    1  0.000  0.528     0.00     0.00 -1 -3.02e-13      0.00 8.681e-01 1.318e-01 1.732e-05 4.774e-06 4.369e-05 -1.000 1.001e-04 3.804 4.536 4.028 3.821 3.786 3.805 3.821
0.000156 -1.99852 10.11394 0.7623728514 2.3829140663    0.761  0.441  3.8097  4.069    1  0.000  0.528     0.00     0.00 -1 -3.64e-13      0.00 8.670e-01 1.329e-01 1.747e-05 4.817e-06 4.409e-05 -1.000 9.997e-05 3.666 4.402 3.891 3.680 3.643 3.661 3.676
0.000156 -1.99852 10.11394 0.7652521133 2.3840255737    0.764  0.485  3.8071  4.016    1  0.000  0.528     0.00     0.00 -1 -4.28e-13      0.00 8.662e-01 1.337e-01 1.758e-05 4.847e-06 4.436e-05 -1.000 9.996e-05 3.556 4.301 3.785 3.567 3.526 3.541 3.555
0.000156 -1.99852 10.11394 0.7658661008 2.3842616081    0.765  0.496  3.8063  4.003    1  0.000  0.528     0.00     0.00 -1 -4.46e-13      0.00 8.660e-01 1.339e-01 1.761e-05 4.853e-06 4.442e-05 -1.000 1.000e-04 3.531 4.278 3.762 3.541 3.499 3.513 3.527
0.000156 -1.99852 10.11394 0.7664532065 2.3844869137    0.765  0.506  3.8051  3.988    1  0.000  0.528     0.00     0.00 -1 -4.66e-13      0.00 8.659e-01 1.340e-01 1.763e-05 4.860e-06 4.447e-05 -1.000 9.994e-05 3.504 4.255 3.737 3.512 3.469 3.482 3.496
0.000156 -1.99852 10.11394 0.7684291601 2.3852429390    0.767  0.546  3.8001  3.929    2  0.000  0.528     0.00     0.00 -1 -5.43e-13      0.00 8.653e-01 1.346e-01 1.770e-05 4.880e-06 4.466e-05 -1.000 1.000e-04 3.405 4.173 3.648 3.408 3.357 3.366 3.377
0.000156 -1.99852 10.11394 0.7699427009 2.3858194351    0.769  0.581  3.7938  3.869    2  0.000  0.528     0.00     0.00 -1  -6.3e-13      0.00 8.649e-01 1.350e-01 1.776e-05 4.896e-06 4.481e-05 -1.000 1.000e-04 3.316 4.109 3.573 3.314 3.253 3.255 3.265
0.000156 -1.99852 10.11394 0.7711291313 2.3862700462    0.770  0.614  3.7863  3.808    2  0.000  0.528     0.00     0.00 -1 -7.29e-13      0.00 8.641e-01 1.357e-01 1.787e-05 4.926e-06 4.509e-05 -1.000 1.191e-04 3.235 4.060 3.509 3.226 3.154 3.149 3.156
0.000156 -1.99852 10.11394 0.7720862627 2.3866324425    0.771  0.644  3.7783  3.746    2  0.000  0.529     0.00     0.00 -1 -8.37e-13      0.00 8.557e-01 1.442e-01 1.884e-05 5.190e-06 4.747e-05 -1.000 1.124e-04 3.160 4.023 3.455 3.146 3.061 3.048 3.052
0.000156 -1.99852 10.11394 0.7728896737 2.3869359493    0.771  0.672  3.7706  3.688    2  0.000  0.531     0.00     0.00 -1 -9.54e-13      0.00 8.346e-01 1.653e-01 2.100e-05 5.775e-06 5.275e-05 -1.000 1.121e-04 3.091 3.994 3.405 3.070 2.974 2.953 2.954
0.000156 -1.99852 10.11394 0.7735987902 2.3872034550    0.772  0.701  3.7632  3.630    2  0.000  0.533     0.00     0.00 -1 -1.09e-12      0.00 8.088e-01 1.911e-01 2.349e-05 6.443e-06 5.873e-05 -1.000 1.107e-04 3.018 3.964 3.353 2.994 2.886 2.858 2.856
0.000156 -1.99852 10.11394 0.7742280364 2.3874404430    0.773  0.733  3.7566  3.572    2  0.000  0.535     0.00     0.00 -1 -1.25e-12      0.00 7.921e-01 2.078e-01 2.507e-05 6.867e-06 6.251e-05 -1.000 1.124e-04 2.939 3.926 3.293 2.911 2.793 2.758 2.754
0.000156 -1.99852 10.11394 0.7748514414 2.3876748085    0.773  0.773  3.7507  3.508    2  0.000  0.536     0.00     0.00 -1 -1.48e-12      0.00 7.818e-01 2.181e-01 2.606e-05 7.130e-06 6.485e-05 -1.000 1.589e-04 2.837 3.863 3.210 2.808 2.680 2.639 2.632
0.000156 -1.99852 10.11394 0.7753436565 2.3878598213    0.774  0.813  3.7469  3.453    2  0.000  0.536     0.00     0.00 -1 -1.73e-12      0.00 7.766e-01 2.232e-01 2.655e-05 7.261e-06 6.603e-05 -1.000 1.642e-04 2.739 3.792 3.124 2.708 2.574 2.529 2.521
0.000156 -1.99852 10.11394 0.7756802440 2.3879859447    0.774  0.842  3.7445  3.414    2  0.000  0.536     0.00     0.00 -1 -1.94e-12      0.00 7.739e-01 2.259e-01 2.680e-05 7.329e-06 6.664e-05 -1.000 1.642e-04 2.664 3.734 3.057 2.633 2.495 2.448 2.439
0.000156 -1.99852 10.11394 0.7759783268 2.3880977631    0.774  0.872  3.7429  3.378    3  0.000  0.536     0.00     0.00 -1 -2.16e-12      0.00 7.721e-01 2.277e-01 2.697e-05 7.372e-06 6.703e-05 -1.000 1.528e-04 2.590 3.671 2.988 2.559 2.418 2.369 2.359
0.000156 -1.99852 10.11394 0.7763690948 2.3882441521    0.774  0.913  3.7409  3.330    3  0.000  0.537     0.00     0.00 -1  -2.5e-12      0.00 7.699e-01 2.299e-01 2.715e-05 7.422e-06 6.747e-05 -1.000 1.515e-04 2.488 3.584 2.892 2.457 2.313 2.262 2.251
